"Pometia tomentosa","Pometia","","tomentosa",NA,NA,"","","tro-50009189",TRUE,"1.1","Synonym","Sapindaceae","Allophylus","","cobbe","","","(L.) Raeusch.","kew-2629275","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pommereschea lackneri","Pommereschea","","lackneri",NA,NA,"","","kew-259433",TRUE,"1.1","Accepted","Zingiberaceae","Pommereschea","","lackneri","","","Witte","kew-259433","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ponapea hosinoi","Ponapea","","hosinoi",NA,NA,"","","kew-163211",TRUE,"1.1","Accepted","Arecaceae","Ponapea","","hosinoi","","","Kaneh.","kew-163211","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ponapea ledermanniana","Ponapea","","ledermanniana",NA,NA,"","","kew-163213",TRUE,"1.1","Accepted","Arecaceae","Ponapea","","ledermanniana","","","Becc.","kew-163213","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ponapea palauensis","Ponapea","","palauensis",NA,NA,"","","kew-163214",TRUE,"1.1","Accepted","Arecaceae","Ponapea","","palauensis","","","Kaneh.","kew-163214","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ponera exilis","Ponera","","exilis",NA,NA,"","","kew-163228",TRUE,"1.1","Accepted","Orchidaceae","Ponera","","exilis","","","Dressler","kew-163228","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ponerorchis alpestris","Ponerorchis","","alpestris",NA,NA,"","","",FALSE,"1.1","","","Ponerorchis","","alpestris",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Ponerorchis amplexifolia","Ponerorchis","","amplexifolia",NA,NA,"","","",FALSE,"1.1","","","Ponerorchis","","amplexifolia",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Ponerorchis basifoliata","Ponerorchis","","basifoliata",NA,NA,"","","",FALSE,"1.1","","","Ponerorchis","","basifoliata",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Ponerorchis brevicalcarata","Ponerorchis","","brevicalcarata",NA,NA,"","","kew-163255",TRUE,"1.1","Accepted","Orchidaceae","Ponerorchis","","brevicalcarata","","","(Finet) Soó","kew-163255","Accepted",FALSE,FALSE,FALSE,2017-05-11
